表記,読み,品詞,語種
対象,タイショウ,名詞-普通名詞-一般,漢
保険,ホケン,名詞-普通名詞-一般,漢
逆,ギャク,名詞-普通名詞-形状詞可能,漢
機能,キノウ,名詞-普通名詞-サ変可能,漢
国民,コクミン,名詞-普通名詞-一般,漢
条件,ジョウケン,名詞-普通名詞-一般,漢
表現,ヒョウゲン,名詞-普通名詞-サ変可能,漢
判断,ハンダン,名詞-普通名詞-サ変可能,漢
一体,イッタイ,名詞-普通名詞-一般,漢
軍,グン,名詞-普通名詞-一般,漢
土地,トチ,名詞-普通名詞-一般,漢
絶対,ゼッタイ,名詞-普通名詞-副詞可能,漢
都市,トシ,名詞-普通名詞-一般,漢
章,ショウ,名詞-普通名詞-一般,漢
価値,カチ,名詞-普通名詞-一般,漢
国家,コッカ,名詞-普通名詞-一般,漢
対応,タイオウ,名詞-普通名詞-サ変可能,漢
行為,コウイ,名詞-普通名詞-一般,漢
役,ヤク,名詞-普通名詞-一般,漢
結局,ケッキョク,名詞-普通名詞-副詞可能,漢
フランス,フランス,名詞-固有名詞-地名-国,固
明治,メイジ,名詞-固有名詞-一般,固
一部,イチブ,名詞-普通名詞-副詞可能,漢
死,シ,名詞-普通名詞-一般,漢
人生,ジンセイ,名詞-普通名詞-一般,漢
不安,フアン,名詞-普通名詞-形状詞可能,漢
能力,ノウリョク,名詞-普通名詞-一般,漢
報告,ホウコク,名詞-普通名詞-サ変可能,漢
文字,モジ,名詞-普通名詞-一般,漢
