"見出し語彙素
Lexeme","標準的（新聞）表記
Standard (Newspaper) Orthography","標準的読み方（カタカナ）
Standard Reading (Katakana)","品詞
Part of Speech","
語種
Word Origin Type"
オーバー,オーバー,オーバー,名詞-普通名詞-サ変形状詞可能,外
入学,入学,ニュウガク,名詞-普通名詞-サ変可能,漢
規則,規則,キソク,名詞-普通名詞-一般,漢
市民,市民,シミン,名詞-普通名詞-一般,漢
支度,支度,シタク,名詞-普通名詞-サ変可能,漢
アルコール,アルコール,アルコール,名詞-普通名詞-一般,外
赤ん坊,赤ん坊,アカンボウ,名詞-普通名詞-一般,混
見物,見物,ケンブツ,名詞-普通名詞-サ変可能,漢
故障,故障,コショウ,名詞-普通名詞-サ変可能,漢
馳走,馳走,チソウ,名詞-普通名詞-サ変可能,漢
課長,課長,カチョウ,名詞-普通名詞-一般,漢
用事,用事,ヨウジ,名詞-普通名詞-一般,漢
発音,発音,ハツオン,名詞-普通名詞-サ変可能,漢
不便,不便,フベン,名詞-普通名詞-形状詞可能,漢
輸入,輸入,ユニュウ,名詞-普通名詞-サ変可能,漢
文学,文学,ブンガク,名詞-普通名詞-一般,漢
景色,景色,ケシキ,名詞-普通名詞-一般,漢
地震,地震,ジシン,名詞-普通名詞-一般,漢
人口,人口,ジンコウ,名詞-普通名詞-一般,漢
日記,日記,ニッキ,名詞-普通名詞-一般,漢
西洋,西洋,セイヨウ,名詞-普通名詞-一般,漢
サラダ,サラダ,サラダ,名詞-普通名詞-一般,外
テキスト,テキスト,テキスト,名詞-普通名詞-一般,外
注射,注射,チュウシャ,名詞-普通名詞-サ変可能,漢
校長,校長,コウチョウ,名詞-普通名詞-一般,漢
電灯,電灯,デントウ,名詞-普通名詞-一般,漢
生産,生産,セイサン,名詞-普通名詞-サ変可能,漢
コンサート,コンサート,コンサート,名詞-普通名詞-一般,外
医学,医学,イガク,名詞-普通名詞-一般,漢
レジ,レジ,レジ,名詞-普通名詞-一般,外
退院,退院,タイイン,名詞-普通名詞-サ変可能,漢
翻訳,翻訳,ホンヤク,名詞-普通名詞-サ変可能,漢
アナウンサー,アナウンサー,アナウンサー,名詞-普通名詞-一般,外
スクリーン,スクリーン,スクリーン,名詞-普通名詞-一般,外
家内,家内,カナイ,名詞-普通名詞-一般,漢
テニス,テニス,テニス,名詞-普通名詞-一般,外
火事,火事,カジ,名詞-普通名詞-一般,漢
数学,数学,スウガク,名詞-普通名詞-一般,漢
拝見,拝見,ハイケン,名詞-普通名詞-サ変可能,漢
水道,水道,スイドウ,名詞-普通名詞-一般,漢
暖房,暖房,ダンボウ,名詞-普通名詞-サ変可能,漢
水泳,水泳,スイエイ,名詞-普通名詞-サ変可能,漢
特急,特急,トッキュウ,名詞-普通名詞-一般,漢
葡萄,ブドウ,ブドウ,名詞-普通名詞-一般,漢
競争,競争,キョウソウ,名詞-普通名詞-サ変可能,漢
産業,産業,サンギョウ,名詞-普通名詞-一般,漢
アクセサリー,アクセサリー,アクセサリー,名詞-普通名詞-一般,外
郊外,郊外,コウガイ,名詞-普通名詞-一般,漢
サンダル,サンダル,サンダル,名詞-普通名詞-一般,外
急行,急行,キュウコウ,名詞-普通名詞-サ変可能,漢
屋上,屋上,オクジョウ,名詞-普通名詞-一般,漢
工業,工業,コウギョウ,名詞-普通名詞-一般,漢
レポート,レポート,レポート,名詞-普通名詞-サ変可能,外
講義,講義,コウギ,名詞-普通名詞-サ変可能,漢
下宿,下宿,ゲシュク,名詞-普通名詞-サ変可能,漢
汽車,汽車,キシャ,名詞-普通名詞-一般,漢
地理,地理,チリ,名詞-普通名詞-一般,漢
オートバイ,オートバイ,オートバイ,名詞-普通名詞-一般,外
サンドイッチ,サンドイッチ,サンドイッチ,名詞-普通名詞-一般,外
貿易,貿易,ボウエキ,名詞-普通名詞-サ変可能,漢
冷房,冷房,レイボウ,名詞-普通名詞-サ変可能,漢
スーツケース,スーツケース,スーツケース,名詞-普通名詞-一般,外
辞典,辞典,ジテン,名詞-普通名詞-一般,漢
木綿,木綿,モメン,名詞-普通名詞-一般,漢
ステレオ,ステレオ,ステレオ,名詞-普通名詞-一般,外
ステーキ,ステーキ,ステーキ,名詞-普通名詞-一般,外
柔道,柔道,ジュウドウ,名詞-普通名詞-一般,漢
ワープロ,ワープロ,ワープロ,名詞-普通名詞-一般,外
ジャム,ジャム,ジャム,名詞-普通名詞-一般,外
学部,学部,ガクブ,名詞-普通名詞-一般,漢
文法,文法,ブンポウ,名詞-普通名詞-一般,漢
ハンバーグ,ハンバーグ,ハンバーグ,名詞-普通名詞-一般,外
電報,電報,デンポウ,名詞-普通名詞-一般,漢
エスカレーター,エスカレーター,エスカレーター,名詞-普通名詞-一般,外
輸出,輸出,ユシュツ,名詞-普通名詞-サ変可能,漢
寝坊,寝坊,ネボウ,名詞-普通名詞-形状詞可能,混
講堂,講堂,コウドウ,名詞-普通名詞-一般,漢
予習,予習,ヨシュウ,名詞-普通名詞-サ変可能,漢
復習,復習,フクシュウ,名詞-普通名詞-サ変可能,漢
展覧,展覧,テンラン,名詞-普通名詞-サ変可能,漢
日本,日本,ニッポン,名詞-固有名詞-地名-国,固
他,他,タ／ホカ,名詞-普通名詞-副詞可能,漢
人間,人間,ニンゲン,名詞-普通名詞-一般,漢
方法,方法,ホウホウ,名詞-普通名詞-一般,漢
法,法,ホウ,名詞-普通名詞-一般,漢
現在,現在,ゲンザイ,名詞-普通名詞-副詞可能,漢
存在,存在,ソンザイ,名詞-普通名詞-サ変可能,漢
情報,情報,ジョウホウ,名詞-普通名詞-一般,漢
地,地,チ,名詞-普通名詞-一般,漢
結果,結果,ケッカ,名詞-普通名詞-副詞可能,漢
中国,中国,チュウゴク,名詞-固有名詞-地名-国,固
実,実,ジツ,名詞-普通名詞-一般,漢
部分,部分,ブブン,名詞-普通名詞-一般,漢
