表記,読み
筆致,ヒッチ
チャイニーズ,チャイニーズ
投射,トウシャ
竜門,リュウモン
先史,センシ
コブラ,コブラ
暫時,ザンジ
血肉,ケツニク
貨,カ
発汗,ハッカン
都銀,トギン
白虎,ビャッコ
歩幅,ホハバ
吉報,キッポウ
南進,ナンシン
内証,ナイショウ
反攻,ハンコウ
テリア,テリア
ブラッシング,ブラッシング
対角,タイカク
ランタン,ランタン
天分,テンブン
愛妻,アイサイ
コックピット,コックピット
付箋,フセン
順天,ジュンテン
散漫,サンマン
トランクス,トランクス
血栓,ケッセン
還俗,ゲンゾク
術策,ジュッサク
訪中,ホウチュウ
薄暮,ハクボ
エステル,エステル
イヤホン,イヤホン
花鳥,カチョウ
本則,ホンソク
語族,ゴゾク
善玉,ゼンダマ
非番,ヒバン
勧請,カンジョウ
求刑,キュウケイ
下命,カメイ
重機,ジュウキ
肉片,ニクヘン
同宿,ドウシュク
端午,タンゴ
工期,コウキ
閑,カン
歩哨,ホショウ
船中,センチュウ
不適,フテキ
走馬,ソウマ
紅毛,コウモウ
リピート,リピート
硬変,コウヘン
四散,シサン
鉄柵,テッサク
五々,ゴゴ
道標,ドウヒョウ
木版,モクハン
リタ,リタ
理詰め,リヅメ
衰微,スイビ
藩校,ハンコウ
時候,ジコウ
望見,ボウケン
養老,ヨウロウ
世上,セジョウ
シーマ,シーマ
アドベンチャー,アドベンチャー
妙味,ミョウミ
暗渠,アンキョ
希釈,キシャク
仮借,カシャク
果報,カホウ
衛兵,エイヘイ
コネクター,コネクター
ノズル,ノズル
不逞,フテイ
愛玩,アイガン
返書,ヘンショ
作料,サクリョウ
万端,バンタン
農山村,ノウサンソン
風水,フウスイ
銅板,ドウバン
他言,タゴン
分掌,ブンショウ
悪業,アクゴウ
統轄,トウカツ
電解,デンカイ
投降,トウコウ
グラマー,グラマー
進物,シンモツ
原曲,ゲンキョク
急転,キュウテン
八角,ハッカク
登載,トウサイ
教委,キョウイ
卑賤,ヒセン
極右,キョクウ
幻惑,ゲンワク
拙速,セッソク
片面,カタメン
側頭,ソクトウ
ベーダ,ベーダ
ハンドブック,ハンドブック
石版,セキバン
合板,ゴウハン
田楽,デンガク
マニフェスト,マニフェスト
軍装,グンソウ
チンパンジー,チンパンジー
バーボン,バーボン
勧農,カンノウ
愚劣,グレツ
氷期,ヒョウキ
拙宅,セッタク
画風,ガフウ
大所,タイショ
国難,コクナン
新日,シンニチ
ディフェンス,ディフェンス
右舷,ウゲン
筆力,ヒツリョク
内覧,ナイラン
誌面,シメン
レイシ,レイシ
勅,チョク
天領,テンリョウ
高座,コウザ
五目,ゴモク
シャクナゲ,シャクナゲ
ローション,ローション
金権,キンケン
下付,カフ
意中,イチュウ
スタイリング,スタイリング
軟骨,ナンコツ
表門,オモテモン
横死,オウシ
末梢,マッショウ
護憲,ゴケン
山泊,サンパク
諸種,ショシュ
ザイル,ザイル
善導,ゼンドウ
厄,ヤク
敵兵,テキヘイ
可変,カヘン
当年,トウネン
校訂,コウテイ
サプライヤー,サプライヤー
立件,リッケン
変幻,ヘンゲン
扇形,センケイ
重篤,ジュウトク
言質,ゲンチ
わき,ワキ
鉄拳,テッケン
教唆,キョウサ
服飾,フクショク
完敗,カンパイ
極寒,ゴッカン
気密,キミツ
レフト,レフト
往路,オウロ
休館,キュウカン
仏事,ブツジ
策士,サクシ
バリン,バリン
便通,ベンツウ
容態,ヨウダイ
節点,セッテン
高二,コウニ
送致,ソウチ
ピンはね,ピンハネ
慶事,ケイジ
メタノール,メタノール
専行,センコウ
多層,タソウ
デリカシー,デリカシー
一遇,イチグウ
欄外,ランガイ
カラーリング,カラーリング
巨漢,キョカン
転記,テンキ
訴状,ソジョウ
暗礁,アンショウ
盟約,メイヤク
各層,カクソウ
鶏卵,ケイラン
霊柩,レイキュウ
根負け,コンマケ
シャム,シャム
私邸,シテイ
コーチング,コーチング
名店,メイテン
小節,ショウセツ
各階,カクカイ
筆写,ヒッシャ
酢酸,サクサン
肉汁,ニクジュウ
一意,イチイ
ダリア,ダリア
オブザーバー,オブザーバー
独尊,ドクソン
マスカラ,マスカラ
らいらく,ライラク
エコシステム,エコシステム
薬用,ヤクヨウ
老臣,ロウシン
図説,ズセツ
背信,ハイシン
モジュール,モジュール
一塁,イチルイ
病後,ビョウゴ
自任,ジニン
結着,ケッチャク
涼風,リョウフウ
虎視,コシ
宿所,シュクショ
部材,ブザイ
バックス,バックス
北進,ホクシン
一席,イッセキ
准将,ジュンショウ
シークレット,シークレット
ミスマッチ,ミスマッチ
博文,ハクブン
器材,キザイ
ピューリタン,ピューリタン
調律,チョウリツ
南門,ナンモン
中門,チュウモン
略式,リャクシキ
吏員,リイン
一眼,イチガン
超常,チョウジョウ
徳性,トクセイ
歌曲,カキョク
前駆,ゼンク
神意,シンイ
喚問,カンモン
トリプル,トリプル
エンジョイ,エンジョイ
小事,ショウジ
浴び,アビ
万年,マンネン
純金,ジュンキン
公序,コウジョ
随員,ズイイン
統廃合,トウハイゴウ
零落,レイラク
実録,ジツロク
コンクリ,コンクリ
洗車,センシャ
満身,マンシン
副長,フクチョウ
台紙,ダイシ
隊形,タイケイ
肉感,ニッカン
初春,ショシュン
猛火,モウカ
墓参,ボサン
香気,コウキ
引導,インドウ
短銃,タンジュウ
託宣,タクセン
防護,ボウゴ
異彩,イサイ
にゅうろう,ニュウロウ
憂国,ユウコク
棒立ち,ボウダチ
小三,ショウサン
猛将,モウショウ
打電,ダデン
主夫,シュフ
護法,ゴホウ
正本,ショウホン
護身,ゴシン
スコール,スコール
ブルゾン,ブルゾン
赤痢,セキリ
ナビゲーション,ナビゲーション
付設,フセツ
撃滅,ゲキメツ
変性,ヘンセイ
番茶,バンチャ
刻限,コクゲン
台上,ダイジョウ
段丘,ダンキュウ
スキップ,スキップ
課目,カモク
青雲,セイウン
ブーケ,ブーケ
衛士,エイシ
実弾,ジツダン
複線,フクセン
イントネーション,イントネーション
敷布,シキフ
陶工,トウコウ
好天,コウテン
自浄,ジジョウ
核酸,カクサン
晩飯,バンメシ
旧領,キュウリョウ
密会,ミッカイ
猛者,モサ
断末魔,ダンマツマ
満帆,マンパン
石高,コクダカ
内湾,ナイワン
メソッド,メソッド
道交,ドウコウ
カドミウム,カドミウム
剛毅,ゴウキ
夜会,ヤカイ
山河,サンガ
卵白,ランパク
痛風,ツウフウ
ライム,ライム
装具,ソウグ
天馬,テンバ
リカバリー,リカバリー
電荷,デンカ
遠路,エンロ
送検,ソウケン
陸橋,リッキョウ
ハングリー,ハングリー
生類,ショウルイ
ほう助,ホウジョ
叫喚,キョウカン
触角,ショッカク
廷臣,テイシン
艦載,カンサイ
スペア,スペア
教典,キョウテン
ラインアップ,ラインアップ
利尿,リニョウ
聖典,セイテン
雑念,ザツネン
ドミノ,ドミノ
逆光,ギャッコウ
昇任,ショウニン
芭蕉,バショウ
公報,コウホウ
月桂,ゲッケイ
実写,ジッシャ
懸隔,ケンカク
和睦,ワボク
テロップ,テロップ
フォール,フォール
ファイター,ファイター
公選,コウセン
墓碑,ボヒ
諸費,ショヒ
キオスク,キオスク
アボリジニ,アボリジニ
セロテープ,セロテープ
世評,セヒョウ
ロッジ,ロッジ
俗物,ゾクブツ
開基,カイキ
タックル,タックル
烏頭,ウズ
軍兵,グンビョウ
再訪,サイホウ
延伸,エンシン
闘,トウ
謀殺,ボウサツ
音曲,オンギョク
ハロウィーン,ハロウィーン
座卓,ザタク
敗残,ハイザン
国共,コッキョウ
人倫,ジンリン
石塔,セキトウ
リベラリズム,リベラリズム
静謐,セイヒツ
内圧,ナイアツ
成犬,セイケン
警務,ケイム
居館,キョカン
実兄,ジッケイ
バント,バント
決裁,ケッサイ
不払い,フバライ
長城,チョウジョウ
ペレストロイカ,ペレストロイカ
旋盤,センバン
貧者,ヒンジャ
コラーゲン,コラーゲン
上出来,ジョウデキ
掃射,ソウシャ
廃仏,ハイブツ
登攀,トウハン
サンライズ,サンライズ
諸表,ショヒョウ
ロフト,ロフト
禍根,カコン
論題,ロンダイ
軽侮,ケイブ
総領,ソウリョウ
スパークリング,スパークリング
雨後,ウゴ
高峰,コウホウ
閑話,カンワ
勇将,ユウショウ
レーズン,レーズン
滅菌,メッキン
曲芸,キョクゲイ
鉄腕,テツワン
探訪,タンボウ
酸欠,サンケツ
後背,コウハイ
藩領,ハンリョウ
インナー,インナー
階調,カイチョウ
扇情,センジョウ
勝地,ショウチ
紐帯,チュウタイ
首座,シュザ
拝命,ハイメイ
深緑,シンリョク
難産,ナンザン
解法,カイホウ
口舌,コウゼツ
立秋,リッシュウ
父君,フクン
王城,オウジョウ
豪胆,ゴウタン
プロトタイプ,プロトタイプ
渇水,カッスイ
勝率,ショウリツ
若輩,ジャクハイ
機上,キジョウ
儒家,ジュカ
バイタリティー,バイタリティー
他校,タコウ
シールド,シールド
新古,シンコ
極点,キョクテン
地歩,チホ
クラッシュ,クラッシュ
偏食,ヘンショク
刊本,カンポン
不時,フジ
レリーフ,レリーフ
買春,バイシュン
タカ派,タカハ
ロハス,ロハス
番兵,バンペイ
免状,メンジョウ
ヨーロピアン,ヨーロピアン
連射,レンシャ
司書,シショ
ラジウム,ラジウム
慶弔,ケイチョウ
フェノール,フェノール
襲名,シュウメイ
来迎,ライゴウ
築堤,チクテイ
懇請,コンセイ
基層,キソウ
特使,トクシ
豪,ゴウ
三宮,サングウ
新顔,シンガオ
ブライダル,ブライダル
コンテ,コンテ
鉢合わせ,ハチアワセ
奇遇,キグウ
禁裏,キンリ
達筆,タッピツ
銀閣,ギンカク
仕儀,シギ
聖体,セイタイ
概括,ガイカツ
直近,チョッキン
レアル,レアル
渡世,トセイ
ポリ袋,ポリブクロ
某氏,ボウシ
踏査,トウサ
義士,ギシ
改易,カイエキ
納車,ノウシャ
着艦,チャッカン
対局,タイキョク
日仏,ニチフツ
音速,オンソク
フェード,フェード
校閲,コウエツ
純愛,ジュンアイ
精米,セイマイ
鉄瓶,テツビン
知遇,チグウ
県令,ケンレイ
競艇,キョウテイ
在韓,ザイカン
給湯,キュウトウ
豪農,ゴウノウ
県連,ケンレン
征韓,セイカン
連覇,レンパ
フィットネス,フィットネス
老犬,ロウケン
ウエッジ,ウエッジ
エコロジカル,エコロジカル
パ,パ
主命,シュメイ
霊山,レイザン
ヘアピン,ヘアピン
ストロベリー,ストロベリー
マスターベーション,マスターベーション
顕教,ケンギョウ
盗作,トウサク
日食,ニッショク
墨汁,ボクジュウ
アウトプット,アウトプット
新開,シンカイ
礼装,レイソウ
月別,ツキベツ
プロジェクター,プロジェクター
石窟,セックツ
魚群,ギョグン
世子,セイシ
人骨,ジンコツ
没年,ボツネン
絶交,ゼッコウ
類焼,ルイショウ
思弁,シベン
上肢,ジョウシ
訳出,ヤクシュツ
酔狂,スイキョウ
霊験,レイゲン
ろれつ,ロレツ
賢母,ケンボ
軍歌,グンカ
艦尾,カンビ
大分,ダイブ
ポップコーン,ポップコーン
花期,カキ
霧散,ムサン
廃人,ハイジン
事績,ジセキ
メーリング,メーリング
ノール,ノール
離着陸,リチャクリク
ジェネリック,ジェネリック
回航,カイコウ
大乱,タイラン
妖気,ヨウキ
インスティチュート,インスティチュート
憂愁,ユウシュウ
薬事,ヤクジ
春分,シュンブン
オプショナル,オプショナル
全量,ゼンリョウ
ヘルペス,ヘルペス
学閥,ガクバツ
入京,ニュウキョウ
端座,タンザ
薩,サツ
怒気,ドキ
対ソ,タイソ
シーソー,シーソー
ブルーム,ブルーム
返戻,ヘンレイ
海援,カイエン
ロブスター,ロブスター
会誌,カイシ
宿営,シュクエイ
一統,イットウ
漸減,ゼンゲン
遺贈,イゾウ
禅譲,ゼンジョウ
謀議,ボウギ
紙製,カミセイ
人頭,ジントウ
社中,シャチュウ
献血,ケンケツ
車座,クルマザ
別状,ベツジョウ
内申,ナイシン
校風,コウフウ
局番,キョクバン
熱風,ネップウ
二十歳,ハタチ
遷移,センイ
追突,ツイトツ
制空,セイクウ
軍役,グンエキ
こる,コル
鏡台,キョウダイ
敵将,テキショウ
乾坤,ケンコン
宅建,タッケン
併発,ヘイハツ
法輪,ホウリン
タックス,タックス
クーリング,クーリング
判示,ハンジ
フィッシング,フィッシング
固着,コチャク
渉外,ショウガイ
言表,ゲンピョウ
新語,シンゴ
等式,トウシキ
ファーザー,ファーザー
当寺,トウジ
策動,サクドウ
黒門,クロモン
サービスマン,サービスマン
せんえつ,センエツ
樹下,ジュカ
廃校,ハイコウ
軽装,ケイソウ
シナモン,シナモン
通運,ツウウン
選者,センジャ
重責,ジュウセキ
わいざつ,ワイザツ
レスト,レスト
リスニング,リスニング
と殺,トサツ
画材,ガザイ
集住,シュウジュウ
群臣,グンシン
一徹,イッテツ
市況,シキョウ
警固,ケイゴ
遊休,ユウキュウ
雑兵,ゾウヒョウ
不沈,フチン
助勢,ジョセイ
弾性,ダンセイ
アボカド,アボカド
悉皆,シッカイ
止水,シスイ
初段,ショダン
修好,シュウコウ
物権,ブッケン
ファッショ,ファッショ
インサイダー,インサイダー
原注,ゲンチュウ
チェイス,チェイス
ボーダー,ボーダー
黙祷,モクトウ
本校,ホンコウ
除夜,ジョヤ
ハードカバー,ハードカバー
プランクトン,プランクトン
卒塔婆,ソトバ
シークエンス,シークエンス
城南,ジョウナン
恒星,コウセイ
ウレタン,ウレタン
反語,ハンゴ
準則,ジュンソク
乱立,ランリツ
硬派,コウハ
エス,エス
重税,ジュウゼイ
損金,ソンキン
ビューロー,ビューロー
周遊,シュウユウ
脱会,ダッカイ
長幼,チョウヨウ
例会,レイカイ
神仙,シンセン
ルーン,ルーン
モナ,モナ
縮減,シュクゲン
造立,ゾウリュウ
全霊,ゼンレイ
自傷,ジショウ
直送,チョクソウ
仏門,ブツモン
抜糸,バッシ
亡国,ボウコク
ハイビジョン,ハイビジョン
相姦,ソウカン
青酸,セイサン
ズック,ズック
グラデーション,グラデーション
コリアン,コリアン
前編,ゼンペン
家門,カモン
外輪,ガイリン
名勝,メイショウ
三位,サンミ
コメディアン,コメディアン
議院,ギイン
タンポン,タンポン
自慰,ジイ
仏塔,ブットウ
あんこ,アンコ
同形,ドウケイ
ニート,ニート
外苑,ガイエン
スパイウェア,スパイウェア
尾翼,ビヨク
公国,コウコク
駅伝,エキデン
提議,テイギ
名月,メイゲツ
ボア,ボア
神曲,シンキョク
プレステ,プレステ
たたら,タタラ
贋作,ガンサク
ヘゲモニー,ヘゲモニー
カルマ,カルマ
借款,シャッカン
離,リ
原罪,ゲンザイ
租界,ソカイ
地殻,チカク
長調,チョウチョウ
召還,ショウカン
犬歯,ケンシ
苦力,クーリー
与信,ヨシン
ビンテージ,ビンテージ
漂泊,ヒョウハク
バンガロー,バンガロー
ドカン,ドカン
床机,ショウギ
ジャップ,ジャップ
供奉,グブ
付会,フカイ
接尾,セツビ
家集,カシュウ
男系,ダンケイ
少輔,ショウユウ
気泡,キホウ
格上げ,カクアゲ
過日,カジツ
結石,ケッセキ
デューク,デューク
州都,シュウト
迎賓,ゲイヒン
俊敏,シュンビン
不燃,フネン
グリース,グリース
悲報,ヒホウ
仮死,カシ
主神,シュシン
租,ソ
苦楽,クラク
愛妾,アイショウ
遠大,エンダイ
乗降,ジョウコウ
前書,ゼンショ
既出,キシュツ
絶体,ゼッタイ
烈風,レップウ
興亜,コウア
金字,キンジ
今春,コンシュン
訓話,クンワ
肉饅,ニクマン
酒気,シュキ
破砕,ハサイ
だいつう,ダイツウ
同所,ドウショ
ミッド,ミッド
ルーク,ルーク
ていたらく,テイタラク
心神,シンシン
だ捕,ダホ
陸運,リクウン
シナプス,シナプス
吉兆,キッチョウ
群青,グンジョウ
チューン,チューン
水運,スイウン
酌量,シャクリョウ
デベロッパー,デベロッパー
試用,シヨウ
世知,セチ
冷遇,レイグウ
異星,イセイ
リバイアサン,リバイアサン
同権,ドウケン
拝領,ハイリョウ
リラクセーション,リラクセーション
八分,ハチブ
経時,キョウジ
デコ,デコ
フィラメント,フィラメント
公課,コウカ
拳法,ケンポウ
アスレチック,アスレチック
ルアー,ルアー
創案,ソウアン
私室,シシツ
着座,チャクザ
険,ケン
堆肥,タイヒ
コンソール,コンソール
発語,ハツゴ
助走,ジョソウ
京畿,ケイキ
番士,バンシ
両院,リョウイン
西陣,ニシジン
アウン,アウン
対艦,タイカン
遠洋,エンヨウ
冬瓜,トウガ
決壊,ケッカイ
失語,シツゴ
地学,チガク
インタビュアー,インタビュアー
林間,リンカン
スクーター,スクーター
グランプリ,グランプリ
原画,ゲンガ
重軽傷,ジュウケイショウ
頭骨,トウコツ
採否,サイヒ
音節,オンセツ
ドリア,ドリア
クルーザー,クルーザー
武断,ブダン
眼病,ガンビョウ
大食,タイショク
主砲,シュホウ
舎弟,シャテイ
軍法,グンポウ
配役,ハイヤク
軽妙,ケイミョウ
命脈,メイミャク
藩庁,ハンチョウ
毎号,マイゴウ
興ざめ,キョウザメ
失念,シツネン
生肉,セイニク
社主,シャシュ
県名,ケンメイ
流線,リュウセン
密使,ミッシ
白煙,ハクエン
卒園,ソツエン
株,カブ
パパイア,パパイア
モンスーン,モンスーン
盂蘭盆,ウラボン
スナイパー,スナイパー
ギルド,ギルド
恩典,オンテン
ポッド,ポッド
海鮮,カイセン
先験,センケン
れんぼ,レンボ
城址,ジョウシ
急場,キュウバ
招致,ショウチ
信販,シンパン
陶製,トウセイ
粗食,ソショク
リニア,リニア
金城,キンジョウ
主管,シュカン
畑作,ハタサク
デーモン,デーモン
本巻,ホンカン
密漁,ミツリョウ
尼寺,ニジ
反幕,ハンバク
プロテスタンティズム,プロテスタンティズム
粗忽,ソコツ
罪名,ザイメイ
唐詩,トウシ
象形,ショウケイ
英検,エイケン
レジーム,レジーム
照葉,ショウヨウ
副使,フクシ
イージー,イージー
トゥデー,トゥデー
天佑,テンユウ
百害,ヒャクガイ
林家,リンカ
遺作,イサク
温故,オンコ
主翼,シュヨク
無粋,ブスイ
番屋,バンヤ
裁決,サイケツ
折檻,セッカン
ポインター,ポインター
登板,トウバン
止宿,シシュク
出す,ダス
パーセンテージ,パーセンテージ
巡察,ジュンサツ
エクササイズ,エクササイズ
インバーター,インバーター
製塩,セイエン
一利,イチリ
書誌,ショシ
東夷,トウイ
下訳,シタヤク
全線,ゼンセン
日独,ニチドク
宗匠,ソウショウ
米人,ベイジン
右前,ウゼン
監護,カンゴ
タブロイド,タブロイド
レガシー,レガシー
善処,ゼンショ
今生,コンジョウ
史論,シロン
故宮,コキュウ
変事,ヘンジ
夢遊,ムユウ
湖上,コジョウ
美名,ビメイ
車夫,シャフ
五経,ゴキョウ
長じゅばん,ナガジュバン
ビンタ,ビンタ
背徳,ハイトク
ソニック,ソニック
バックボーン,バックボーン
英才,エイサイ
獄死,ゴクシ
聖霊,セイレイ
ボストンバッグ,ボストンバッグ
暁星,ギョウセイ
蛮行,バンコウ
必携,ヒッケイ
喜寿,キジュ
土石,ドセキ
極刑,キョッケイ
ぼたもち,ボタモチ
カバ,カバ
蒙昧,モウマイ
破竹,ハチク
イコン,イコン
洋室,ヨウシツ
文相,ブンショウ
遮光,シャコウ
銅器,ドウキ
オブラート,オブラート
ハスキー,ハスキー
心学,シンガク
職権,ショッケン
雲竜,ウンリュウ
至誠,シセイ
美醜,ビシュウ
郵船,ユウセン
監理,カンリ
同館,ドウカン
地階,チカイ
会頭,カイトウ
小用,コヨウ
総則,ソウソク
岩窟,ガンクツ
フォーチュン,フォーチュン
ＳＨＡＰＥ,シェープ
石柱,セキチュウ
美肌,ビハダ
県営,ケンエイ
りゅういん,リュウイン
日輪,ニチリン
六法,ロッポウ
教場,キョウジョウ
行跡,ギョウセキ
セラピスト,セラピスト
クロワッサン,クロワッサン
軽躁,ケイソウ
薬研,ヤゲン
罫線,ケイセン
シュロ,シュロ
内診,ナイシン
ガリ版,ガリバン
アーク,アーク
戴冠,タイカン
明媚,メイビ
変種,ヘンシュ
着火,チャッカ
地鎮,ジチン
他日,タジツ
遺臣,イシン
オーバーラップ,オーバーラップ
地続き,ジツヅキ
イルミネーション,イルミネーション
砂礫,サレキ
総代,ソウダイ
筒状,トウジョウ
仏具,ブツグ
装填,ソウテン
陪席,バイセキ
ハンモック,ハンモック
雨量,ウリョウ
鉄火,テッカ
集散,シュウサン
上策,ジョウサク
寒入り,カンイリ
得度,トクド
歓心,カンシン
任免,ニンメン
クルージング,クルージング
良性,リョウセイ
アドリブ,アドリブ
騰貴,トウキ
ワンダー,ワンダー
密航,ミッコウ
転変,テンペン
ヘレニズム,ヘレニズム
新暦,シンレキ
文教,ブンキョウ
悲恋,ヒレン
競演,キョウエン
側溝,ソッコウ
インシュリン,インシュリン
西門,サイモン
故実,コジツ
試着,シチャク
中位,チュウイ
字義,ジギ
エーテル,エーテル
空輸,クウユ
生花,セイカ
仲秋,チュウシュウ
青天,セイテン
城外,ジョウガイ
軍議,グンギ
代筆,ダイヒツ
アーキテクチャー,アーキテクチャー
外灯,ガイトウ
秘儀,ヒギ
寵,チョウ
視認,シニン
減殺,ゲンサイ
男気,オトコギ
故地,コチ
丹前,タンゼン
教派,キョウハ
亜流,アリュウ
韓流,カンリュウ
仏国,ブッコク
減衰,ゲンスイ
煮沸,シャフツ
尿意,ニョウイ
調剤,チョウザイ
行司,ギョウジ
思量,シリョウ
シンドローム,シンドローム
正邪,セイジャ
卑俗,ヒゾク
角形,カクガタ
密書,ミッショ
将士,ショウシ
学研,ガッケン
示現,ジゲン
投錨,トウビョウ
献花,ケンカ
快癒,カイユ
テレパシー,テレパシー
苦役,クエキ
経年,ケイネン
子々,シシ
月食,ゲッショク
剣先,ケンサキ
内儀,ナイギ
帳じり,チョウジリ
アカウンタビリティー,アカウンタビリティー
トップレス,トップレス
行道,ギョウドウ
無想,ムソウ
国技,コクギ
養鶏,ヨウケイ
強健,キョウケン
タキシード,タキシード
法名,ホウミョウ
光輝,コウキ
腹水,フクスイ
ツーリスト,ツーリスト
コニャック,コニャック
厚遇,コウグウ
カローラ,カローラ
融解,ユウカイ
工廠,コウショウ
良否,リョウヒ
脱穀,ダッコク
社用,シャヨウ
旧藩,キュウハン
ちくわ,チクワ
サーベル,サーベル
バスローブ,バスローブ
みょうり,ミョウリ
難行,ナンギョウ
プリズム,プリズム
スカル,スカル
重合,ジュウゴウ
牙城,ガジョウ
ロゼ,ロゼ
ティアラ,ティアラ
安保理,アンポリ
外語,ガイゴ
バッド,バッド
通園,ツウエン
政官,セイカン
アベニュー,アベニュー
本箱,ホンバコ
在野,ザイヤ
演義,エンギ
精油,セイユ
脳髄,ノウズイ
帆走,ハンソウ
カテーテル,カテーテル
衰亡,スイボウ
小康,ショウコウ
某日,ボウジツ
内角,ナイカク
製粉,セイフン
絵巻物,エマキモノ
とんでん,トンデン
圧政,アッセイ
園遊,エンユウ
イースター,イースター
テトラ,テトラ
服属,フクゾク
天孫,テンソン
善後,ゼンゴ
高札,コウサツ
ろくろ,ロクロ
具有,グユウ
野人,ヤジン
テナー,テナー
風月,フウゲツ
ドロン,ドロン
臨席,リンセキ
ペインティング,ペインティング
大全,タイゼン
音域,オンイキ
シャーレ,シャーレ
中軸,チュウジク
属望,ショクボウ
家宝,カホウ
同町,ドウチョウ
インターン,インターン
幕内,マクウチ
烈火,レッカ
訓導,クンドウ
諦観,テイカン
ストール,ストール
下剋上,ゲコクジョウ
女学,ジョガク
忍法,ニンポウ
諸隊,ショタイ
ベレー,ベレー
たい,タイ
種苗,シュビョウ
寂寞,セキバク
分極,ブンキョク
改鋳,カイチュウ
太陰,タイイン
評伝,ヒョウデン
上告,ジョウコク
凡例,ハンレイ
ナショナリスト,ナショナリスト
演者,エンジャ
女給,ジョキュウ
拝聴,ハイチョウ
草書,ソウショ
聴聞,チョウモン
低頭,テイトウ
誤記,ゴキ
同朋,ドウホウ
コンデンサー,コンデンサー
卓抜,タクバツ
無明,ムミョウ
イマジネーション,イマジネーション
伏兵,フクヘイ
行内,コウナイ
脊柱,セキチュウ
偏執,ヘンシツ
執心,シュウシン
モンキー,モンキー
壬申,ジンシン
用向き,ヨウムキ
割礼,カツレイ
口承,コウショウ
猿楽,サルガク
模式,モシキ
グルコース,グルコース
公図,コウズ
編年,ヘンネン
被服,ヒフク
戯画,ギガ
異音,イオン
ダック,ダック
忍術,ニンジュツ
海難,カイナン
わしき,ワシキ
多弁,タベン
さら地,サラチ
水牛,スイギュウ
相好,ソウゴウ
もう,モウ
コミュニズム,コミュニズム
着付け,キツケ
キャプション,キャプション
中外,チュウガイ
痛恨,ツウコン
ディスクール,ディスクール
標,ヒョウ
学名,ガクメイ
輪番,リンバン
クーペ,クーペ
厚顔,コウガン
純血,ジュンケツ
暗愚,アング
当節,トウセツ
母堂,ボドウ
鎮原,チンゲン
内燃,ナイネン
触診,ショクシン
羊水,ヨウスイ
傷心,ショウシン
流路,リュウロ
詩情,シジョウ
多端,タタン
参府,サンプ
国電,コクデン
バインダー,バインダー
国都,コクト
極地,キョクチ
広角,コウカク
当店,トウテン
画布,ガフ
試飲,シイン
チョップ,チョップ
青磁,セイジ
差益,サエキ
メッシュ,メッシュ
ゲルマニウム,ゲルマニウム
シャモ,シャモ
妻妾,サイショウ
雨露,ウロ
双璧,ソウヘキ
レーシング,レーシング
陸行,リッコウ
ノックアウト,ノックアウト
法話,ホウワ
ようえん,ヨウエン
雑役,ザツエキ
ミラクル,ミラクル
秀逸,シュウイツ
ファイナンシャル,ファイナンシャル
バイブレーション,バイブレーション
スズラン,スズラン
旧臣,キュウシン
真夜,マヨ
璽,ジ
車上,シャジョウ
せんみょう,センミョウ
同寺,ドウジ
陽動,ヨウドウ
メゾン,メゾン
退転,タイテン
ディベロップメント,ディベロップメント
肉欲,ニクヨク
バイヤー,バイヤー
バイオレット,バイオレット
下馬,ゲバ
雑記,ザッキ
摂生,セッセイ
ラジコン,ラジコン
アップデート,アップデート
タロット,タロット
陶冶,トウヤ
令制,リョウセイ
白痴,ハクチ
兵学,ヘイガク
氷結,ヒョウケツ
会衆,カイシュウ
本案,ホンアン
シビック,シビック
クラリネット,クラリネット
間道,カンドウ
打率,ダリツ
中編,チュウヘン
知者,チシャ
葬礼,ソウレイ
粗鬆,ソショウ
起請,キショウ
アンチョビー,アンチョビー
耐火,タイカ
ヒッター,ヒッター
北辰,ホクシン
共催,キョウサイ
幕切れ,マクギレ
シェーバー,シェーバー
陰唇,インシン
インターバル,インターバル
ヘテロ,ヘテロ
新編,シンペン
マルキシズム,マルキシズム
ファイナル,ファイナル
老僧,ロウソウ
上席,ジョウセキ
クリケット,クリケット
生乳,セイニュウ
チマ,チマ
食客,ショッカク
敬慕,ケイボ
陸続き,リクツヅキ
コミュニケート,コミュニケート
エデュケーション,エデュケーション
敗因,ハイイン
紫煙,シエン
ヘモグロビン,ヘモグロビン
土瓶,ドビン
施,セ
職位,ショクイ
穀類,コクルイ
学僧,ガクソウ
本寺,ホンジ
プレミア,プレミア
しゅてん,シュテン
鬼門,キモン
西海,サイカイ
愚鈍,グドン
幣,ヘイ
バイオマス,バイオマス
貯留,チョリュウ
アンプル,アンプル
一策,イッサク
破算,ハサン
アイリッシュ,アイリッシュ
払暁,フツギョウ
夜陰,ヤイン
バレリーナ,バレリーナ
量感,リョウカン
加点,カテン
乱心,ランシン
ホロコースト,ホロコースト
全館,ゼンカン
水墨,スイボク
賞罰,ショウバツ
亜種,アシュ
諸悪,ショアク
垣内,カイト
曇天,ドンテン
閉館,ヘイカン
新兵,シンペイ
しょうみょう,ショウミョウ
前月,ゼンゲツ
支所,シショ
退室,タイシツ
禁輸,キンユ
労農,ロウノウ
試論,シロン
任侠,ニンキョウ
ロゴス,ロゴス
キャッスル,キャッスル
酷寒,コッカン
対蹠,タイショ
服喪,フクモ
マカロニ,マカロニ
パッション,パッション
沸点,フッテン
